amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_night_transaction,amount_to_trust_ratio,amount_velocity_ratio,is_high_risk_location,location_anomaly_score,is_high_amount,is_low_trust,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel,time_of_day_category_Afternoon,time_of_day_category_Evening,time_of_day_category_Morning,time_of_day_category_Night,is_fraud
17.12,4,0,0,41,3,48,1,0.4175609654253424,4.28,0,0,0,0,0,0,0,1,0,0,0,0,1,0
132.32,9,0,0,63,0,46,0,2.1003174269790885,132.32,0,0,0,0,0,0,0,0,1,0,0,1,0,0
90.4,15,0,0,67,3,21,0,1.3492537112051686,22.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0
29.82,7,0,0,30,5,43,0,0.9939999668666677,4.97,0,0,0,1,0,0,1,0,0,0,0,1,0,0
31.53,17,0,0,87,2,52,0,0.36241378893777254,10.51,0,0,0,0,0,0,1,0,0,1,0,0,0,0
32.88,3,0,0,83,5,37,1,0.39614457354042687,5.48,0,0,0,0,0,0,0,0,1,0,0,0,1,0
171.33,22,0,0,50,1,53,0,3.426599931468002,85.665,0,0,0,0,0,0,0,0,1,0,1,0,0,0
195.97,11,1,0,81,0,26,0,2.4193826861804606,195.97,1,1,0,0,1,0,0,0,0,0,0,1,0,0
228.14,6,1,0,48,2,42,0,4.7529165676475715,76.04666666666667,1,1,0,0,0,1,0,0,0,0,0,1,0,0
93.78,8,0,0,94,0,45,0,0.9976595638546856,93.78,0,0,0,0,0,0,1,0,0,0,0,1,0,0
198.43,14,1,0,88,0,50,0,2.2548863380126556,198.43,1,1,0,0,0,0,0,1,0,1,0,0,0,0
138.55,4,0,0,31,2,22,1,4.469354694536945,46.18333333333334,0,0,0,1,0,0,0,0,1,0,0,0,1,0
207.38,9,0,0,28,1,53,0,7.406428306913274,103.69,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0.94,6,0,0,82,1,18,0,0.011463414494348604,0.47,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59.77,12,1,0,92,1,45,0,0.6496739059818054,29.885,1,1,0,0,0,0,0,0,1,1,0,0,0,0
230.47,11,0,0,89,1,41,0,2.5895505327016797,115.235,0,0,0,0,0,1,0,0,0,0,0,1,0,0
469.14,14,1,0,31,4,58,0,15.13354789891781,93.828,1,1,0,1,0,0,0,1,0,1,0,0,0,0
10.84,22,0,0,90,2,40,0,0.12044444310617286,3.6133333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0
121.86,9,0,0,31,1,36,0,3.930967615130077,60.93,0,0,0,1,0,0,0,0,1,0,0,1,0,0
393.59,18,0,0,45,2,46,0,8.746444250079017,131.19666666666666,0,0,0,0,0,0,1,0,0,0,1,0,0,0
115.86,11,1,0,57,2,42,0,2.0326315432871658,38.62,1,1,0,0,0,0,1,0,0,0,0,1,0,0
61.65,23,0,0,33,0,60,0,1.8681817615702498,61.65,0,0,0,1,1,0,0,0,0,0,1,0,0,0
67.88,6,0,0,30,3,50,0,2.2626665912444466,16.97,0,0,0,1,0,0,0,0,1,0,0,1,0,0
69.09,16,0,0,52,2,40,0,1.3286538206028113,23.03,0,0,0,0,0,1,0,0,0,1,0,0,0,0
510.29,6,0,1,80,3,67,0,6.378624920267189,127.5725,1,1,1,0,0,0,0,1,0,0,0,1,0,0
123.27,16,0,0,71,4,23,0,1.7361971586451104,24.654,0,0,0,0,0,0,1,0,0,1,0,0,0,0
275.34,20,0,0,84,3,39,0,3.2778571038350344,68.835,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18.33,15,0,0,70,2,58,0,0.2618571391163266,6.109999999999999,0,0,0,0,0,0,0,1,0,1,0,0,0,0
21.5,21,0,0,74,2,21,0,0.29054053661431706,7.166666666666667,0,0,0,0,0,0,0,1,0,0,1,0,0,0
33.24,2,0,0,89,2,37,1,0.373483141870976,11.08,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70.13,17,1,0,46,3,51,0,1.524565184248583,17.5325,1,1,0,0,0,1,0,0,0,1,0,0,0,0
38.48,21,0,0,36,4,58,0,1.0688888591975316,7.696,0,0,0,1,0,0,1,0,0,0,1,0,0,0
570.49,14,0,0,62,4,56,0,9.201451464492719,114.098,0,0,1,0,0,1,0,0,0,1,0,0,0,0
210.54,10,0,0,68,1,54,0,3.096176425056229,105.27,0,0,0,0,0,0,1,0,0,0,0,1,0,0
104.87,23,0,0,72,1,57,0,1.4565277575482256,52.435,0,0,0,0,1,0,0,0,0,0,1,0,0,0
78.51,8,0,0,26,1,18,0,3.0196152684763358,39.255,0,0,0,1,0,1,0,0,0,0,0,1,0,0
36.66,13,0,1,28,1,40,0,1.3092856675255118,18.33,1,1,0,1,0,0,0,0,1,1,0,0,0,0
296.52,0,0,0,99,3,18,1,2.99515148489746,74.13,0,0,0,0,0,1,0,0,0,0,0,0,1,0
130.22,0,0,0,65,0,26,1,2.0033845845633143,130.22,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4.49,4,0,0,54,0,30,1,0.08314814660836767,4.49,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.29,23,0,0,48,2,29,0,0.06854166523871531,1.0966666666666667,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70.6,22,0,0,46,2,43,0,1.5347825753308135,23.53333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0
59.11,19,0,0,45,1,43,0,1.3135555263654328,29.555,0,0,0,0,0,0,0,1,0,0,1,0,0,0
517.88,23,0,0,80,6,30,0,6.473499919081251,73.98285714285714,0,0,1,0,0,0,0,0,1,0,1,0,0,0
41.0,2,0,0,85,3,57,1,0.4823529355017302,10.25,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8.37,16,0,0,98,2,39,0,0.08540816239379426,2.7899999999999996,0,0,0,0,0,0,0,0,1,1,0,0,0,0
95.86,21,0,0,88,2,62,0,1.0893181694395664,31.953333333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0
542.04,8,0,0,81,0,25,0,6.691851769236398,542.04,0,0,1,0,1,0,0,0,0,0,0,1,0,0
24.55,21,1,0,91,3,56,0,0.26978021681560205,6.1375,1,1,0,0,1,0,0,0,0,0,1,0,0,0
142.31,4,1,0,65,2,41,1,2.1893845817017756,47.43666666666667,1,1,0,0,1,0,0,0,0,0,0,0,1,0
48.81,16,0,0,53,4,46,0,0.920943378850125,9.762,0,0,0,0,0,0,0,0,1,1,0,0,0,0
340.82,9,0,0,76,2,48,0,4.484473625204294,113.60666666666667,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10.36,11,0,0,67,2,54,0,0.15462686336377815,3.453333333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31.95,16,1,0,42,2,64,0,0.7607142676020413,10.65,1,1,0,0,0,1,0,0,0,1,0,0,0,0
136.41,11,0,0,40,3,57,0,3.410249914743752,34.1025,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13.24,22,0,0,64,4,62,0,0.20687499676757817,2.648,0,0,0,0,0,1,0,0,0,0,1,0,0,0
28.55,14,0,0,96,2,32,0,0.2973958302354601,9.516666666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.24,13,0,0,30,3,53,0,0.007999999733333341,0.06,0,0,0,1,1,0,0,0,0,1,0,0,0,0
251.51,22,0,0,56,2,41,0,4.491249919799109,83.83666666666666,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20.92,17,0,0,30,2,62,0,0.6973333100888897,6.973333333333334,0,0,0,1,0,0,1,0,0,1,0,0,0,0
199.97,21,0,1,79,3,63,0,2.531265790743471,49.9925,1,1,0,0,0,0,1,0,0,0,1,0,0,0
172.1,13,0,0,89,2,49,0,1.933707843441485,57.36666666666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0
25.28,1,0,0,92,2,49,1,0.27478260570888474,8.426666666666668,0,0,0,0,0,1,0,0,0,0,0,0,1,0
202.91,1,0,0,46,0,68,1,4.411086860628546,202.91,0,0,0,0,0,1,0,0,0,0,0,0,1,0
285.35,11,0,0,29,2,28,0,9.83965483311535,95.11666666666667,0,0,0,1,0,0,1,0,0,0,0,1,0,0
357.37,13,1,0,68,4,49,0,5.25544109918469,71.474,1,1,0,0,1,0,0,0,0,1,0,0,0,0
136.83,13,0,0,30,3,20,0,4.560999847966672,34.2075,0,0,0,1,0,1,0,0,0,1,0,0,0,0
18.44,8,0,0,80,4,53,0,0.23049999711875005,3.688,0,0,0,0,1,0,0,0,0,0,0,1,0,0
205.23,2,0,0,40,4,64,1,5.130749871731253,41.046,0,0,0,0,0,0,1,0,0,0,0,0,1,0
428.43,0,0,1,66,1,25,1,6.491363538009644,214.215,1,1,0,0,0,0,0,0,1,0,0,0,1,0
723.9,8,0,0,93,2,42,0,7.783870884044399,241.29999999999998,0,0,1,0,0,0,1,0,0,0,0,1,0,0
32.9,17,0,0,57,2,46,0,0.5771929723299478,10.966666666666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0
504.92,19,0,0,56,1,59,0,9.016428410420922,252.46,0,0,1,0,0,1,0,0,0,0,1,0,0,0
529.59,4,0,0,53,1,24,1,9.992263962410115,264.795,0,0,1,0,1,0,0,0,0,0,0,0,1,0
306.46,6,0,0,46,1,31,0,6.662173768213614,153.23,0,0,0,0,0,0,0,1,0,0,0,1,0,0
121.07,5,0,0,37,1,68,1,3.2721620737253496,60.535,0,0,0,1,0,0,0,1,0,0,0,0,1,0
19.33,10,0,0,59,2,68,0,0.32762711309106585,6.4433333333333325,0,0,0,0,1,0,0,0,0,0,0,1,0,0
29.36,19,0,0,26,3,44,0,1.1292307257988181,7.34,0,0,0,1,1,0,0,0,0,0,1,0,0,0
231.35,23,0,0,62,2,67,0,3.7314515527185232,77.11666666666666,0,0,0,0,0,1,0,0,0,0,1,0,0,0
607.77,21,0,0,86,1,67,0,7.067092941080315,303.885,0,0,1,0,0,0,0,0,1,0,1,0,0,0
185.55,12,0,0,51,0,27,0,3.638235222779702,185.55,0,0,0,0,0,1,0,0,0,1,0,0,0,0
36.88,19,0,0,44,1,46,0,0.8381817991322319,18.44,0,0,0,0,0,1,0,0,0,0,1,0,0,0
218.3,0,0,0,66,1,47,1,3.3075757074609746,109.15,0,0,0,0,0,1,0,0,0,0,0,0,1,0
156.49,18,0,0,36,3,68,0,4.3469443236959915,39.1225,0,0,0,1,0,0,0,0,1,0,1,0,0,0
858.88,13,0,0,82,3,49,0,10.474146213729924,214.72,0,0,1,0,0,0,1,0,0,1,0,0,0,0
105.93,2,0,0,73,2,56,1,1.4510958705329333,35.31,0,0,0,0,0,0,1,0,0,0,0,0,1,0
209.89,11,0,0,25,1,53,0,8.395599664176013,104.945,0,0,0,1,0,0,1,0,0,0,0,1,0,0
360.84,15,0,0,42,2,29,0,8.591428366870753,120.27999999999999,0,0,0,0,0,0,1,0,0,1,0,0,0,0
118.03,4,0,0,96,2,57,1,1.2294791538595922,39.343333333333334,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29.55,14,1,0,81,2,40,0,0.3648148103109283,9.85,1,1,0,0,0,1,0,0,0,1,0,0,0,0
324.59,19,0,0,39,4,44,0,8.322820299414865,64.91799999999999,0,0,0,1,1,0,0,0,0,0,1,0,0,0
84.47,6,1,0,48,1,46,0,1.759791630004341,42.235,1,1,0,0,0,0,0,1,0,0,0,1,0,0
95.21,13,0,0,82,3,39,0,1.1610975468158835,23.8025,0,0,0,0,0,0,1,0,0,1,0,0,0,0
156.76,10,1,0,92,1,31,0,1.703913024957467,78.38,1,1,0,0,0,0,0,1,0,0,0,1,0,0
321.5,4,0,0,85,1,44,1,3.7823528966782014,160.75,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24.05,13,0,0,31,1,23,0,0.7758064265868895,12.025,0,0,0,1,1,0,0,0,0,1,0,0,0,0
111.58,8,0,0,60,3,26,0,1.8596666356722227,27.895,0,0,0,0,0,0,0,0,1,0,0,1,0,0
285.09,6,0,0,35,3,58,0,8.145428338702047,71.2725,0,0,0,1,0,0,0,0,1,0,0,1,0,0
39.42,6,1,0,68,2,42,0,0.5797058738278549,13.14,1,1,0,0,0,1,0,0,0,0,0,1,0,0
105.31,11,1,0,37,2,19,0,2.846216139291456,35.10333333333333,1,1,0,1,0,0,0,1,0,0,0,1,0,0
237.21,13,0,0,53,1,67,0,4.47566029291207,118.605,0,0,0,0,0,0,0,0,1,1,0,0,0,0
41.22,10,0,0,91,3,69,0,0.4529670279893733,10.305,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3.25,18,0,0,70,2,67,0,0.04642857076530613,1.0833333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0
100.08,10,0,0,92,2,19,0,1.0878260751323252,33.36,0,0,0,0,1,0,0,0,0,0,0,1,0,0
434.98,19,1,0,61,3,29,0,7.130819555232467,108.745,1,1,0,0,0,0,1,0,0,0,1,0,0,0
643.94,1,0,0,74,1,64,1,8.70189177429876,321.97,0,0,1,0,0,0,0,1,0,0,0,0,1,0
103.4,13,0,0,98,1,69,0,1.0551020300499794,51.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0
99.75,21,0,0,27,0,30,0,3.6944443076131734,99.75,0,0,0,1,0,0,0,0,1,0,1,0,0,0
92.4,5,0,0,99,3,59,1,0.9333333239057241,23.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
362.59,11,0,0,37,1,30,0,9.799729464872177,181.295,0,0,0,1,0,0,0,1,0,0,0,1,0,0
135.73,18,0,0,25,3,42,0,5.429199782832008,33.9325,0,0,0,1,0,0,0,1,0,0,1,0,0,0
227.6,12,0,0,31,0,34,0,7.341935247034346,227.6,0,0,0,1,0,1,0,0,0,1,0,0,0,0
61.32,14,0,0,81,0,21,0,0.7570370276909009,61.32,0,0,0,0,0,1,0,0,0,1,0,0,0,0
195.53,1,0,0,39,3,46,1,5.013589615036164,48.8825,0,0,0,1,0,0,0,1,0,0,0,0,1,0
275.4,5,0,0,26,2,37,1,10.592307284911257,91.8,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1227.01,9,0,0,52,3,29,0,23.596345700070277,306.7525,0,0,1,0,1,0,0,0,0,0,0,1,0,0
32.54,9,0,0,72,3,46,0,0.45194443816743834,8.135,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35.36,11,0,0,95,4,65,0,0.37221052239778396,7.072,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42.55,0,0,0,27,5,41,1,1.575925867558301,7.091666666666666,0,0,0,1,0,0,1,0,0,0,0,0,1,1
188.05,9,0,1,64,2,50,0,2.9382812040893564,62.68333333333334,1,1,0,0,0,0,1,0,0,0,0,1,0,0
372.71,13,0,0,26,1,20,0,14.334999448653866,186.355,0,0,0,1,1,0,0,0,0,1,0,0,0,0
57.0,5,0,0,75,3,57,1,0.7599999898666668,14.25,0,0,0,0,1,0,0,0,0,0,0,0,1,0
48.13,12,0,0,97,2,31,0,0.49618556189499424,16.043333333333333,0,0,0,0,1,0,0,0,0,1,0,0,0,0
56.89,7,0,0,38,4,53,0,1.497105223760389,11.378,0,0,0,1,1,0,0,0,0,0,0,1,0,0
80.12,22,0,0,34,1,43,0,2.356470518927338,40.06,0,0,0,1,0,0,0,0,1,0,1,0,0,0
7.15,23,0,0,59,1,47,0,0.12118643862395868,3.575,0,0,0,0,0,1,0,0,0,0,1,0,0,0
59.13,23,0,0,64,3,38,0,0.9239062355639651,14.7825,0,0,0,0,0,0,0,0,1,0,1,0,0,0
201.44,20,1,0,37,4,22,0,5.444324177180428,40.288,1,1,0,1,0,0,0,1,0,0,1,0,0,0
39.17,20,0,0,56,2,44,0,0.6994642732238523,13.056666666666667,0,0,0,0,0,0,0,0,1,0,1,0,0,0
146.83,2,0,1,94,4,48,1,1.5620212599784975,29.366000000000003,1,1,0,0,0,0,1,0,0,0,0,0,1,0
120.8,20,0,0,45,2,29,0,2.6844443847901247,40.266666666666666,0,0,0,0,1,0,0,0,0,0,1,0,0,0
132.96,17,0,1,73,4,42,0,1.8213698380634271,26.592000000000002,1,1,0,0,1,0,0,0,0,1,0,0,0,0
437.04,4,0,1,64,2,68,1,6.828749893300784,145.68,1,1,0,0,0,1,0,0,0,0,0,0,1,0
363.18,2,0,0,90,1,41,1,4.035333288496297,181.59,0,0,0,0,0,0,0,0,1,0,0,0,1,0
175.66,2,0,1,49,2,46,1,3.584897886022492,58.553333333333335,1,1,0,0,0,0,0,0,1,0,0,0,1,0
27.6,20,0,0,53,2,56,0,0.5207547071555716,9.200000000000001,0,0,0,0,0,0,0,1,0,0,1,0,0,0
113.51,1,0,0,51,1,28,1,2.225686230868898,56.755,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14.46,8,0,0,68,0,22,0,0.21264705569636685,14.46,0,0,0,0,0,0,1,0,0,0,0,1,0,0
53.07,20,0,1,49,3,58,0,1.083061202386506,13.2675,1,1,0,0,1,0,0,0,0,0,1,0,0,0
66.74,7,0,1,67,5,40,0,0.996119388117621,11.123333333333333,1,1,0,0,0,0,1,0,0,0,0,1,0,0
28.68,0,0,0,55,0,68,1,0.521454535973554,28.68,0,0,0,0,0,0,0,0,1,0,0,0,1,0
232.68,18,1,0,29,1,58,0,8.023447999191449,116.34,1,1,0,1,0,0,0,0,1,0,1,0,0,0
57.26,11,0,0,88,2,22,0,0.6506818107877067,19.086666666666666,0,0,0,0,0,0,0,0,1,0,0,1,0,0
120.37,8,0,0,45,2,23,0,2.6748888294469153,40.123333333333335,0,0,0,0,1,0,0,0,0,0,0,1,0,0
39.48,12,0,0,81,3,56,0,0.4874074013900321,9.87,0,0,0,0,0,0,1,0,0,1,0,0,0,0
187.16,3,0,1,70,4,65,1,2.673714247518368,37.432,1,1,0,0,0,0,0,1,0,0,0,0,1,0
102.58,10,0,1,37,4,54,0,2.7724323575018284,20.516,1,1,0,1,0,1,0,0,0,0,0,1,0,0
275.43,11,0,0,85,3,21,0,3.240352903054672,68.8575,0,0,0,0,0,0,1,0,0,0,0,1,0,0
66.6,16,0,0,32,4,55,0,2.0812499349609395,13.319999999999999,0,0,0,1,1,0,0,0,0,1,0,0,0,0
9.61,4,0,0,94,2,46,1,0.1022340414655953,3.203333333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0
131.77,5,0,0,92,2,23,1,1.4322825931273633,43.92333333333334,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41.14,17,0,0,65,0,35,0,0.632923067185799,41.14,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87.04,13,0,1,74,3,22,0,1.1762162003214027,21.76,1,1,0,0,0,0,0,0,1,1,0,0,0,0
275.65,12,0,1,84,0,38,0,3.2815475799815763,275.65,1,1,0,0,1,0,0,0,0,1,0,0,0,0
305.49,21,0,0,75,2,32,0,4.073199945690668,101.83,0,0,0,0,0,1,0,0,0,0,1,0,0,0
22.35,10,0,0,67,1,23,0,0.33358208457340177,11.175,0,0,0,0,0,0,0,0,1,0,0,1,0,0
120.92,7,0,0,94,2,23,0,1.286382965038479,40.306666666666665,0,0,0,0,0,0,1,0,0,0,0,1,0,0
334.02,14,0,0,92,3,68,0,3.6306521344494334,83.505,0,0,0,0,0,0,0,0,1,1,0,0,0,0
121.91,19,0,0,35,0,39,0,3.483142757624493,121.91,0,0,0,1,0,0,1,0,0,0,1,0,0,0
410.04,5,0,0,70,3,25,1,5.857714202032655,102.51,0,0,0,0,1,0,0,0,0,0,0,0,1,0
131.23,13,0,0,69,1,62,0,1.9018840304074778,65.615,0,0,0,0,0,1,0,0,0,1,0,0,0,0
299.18,14,0,0,60,3,43,0,4.986333250227779,74.795,0,0,0,0,1,0,0,0,0,1,0,0,0,0
303.13,3,0,0,61,1,20,1,4.969344180830423,151.565,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78.24,4,0,0,81,1,33,1,0.9659259140009147,39.12,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36.12,8,1,1,51,1,20,0,0.7082352802306807,18.06,1,2,0,0,0,1,0,0,0,0,0,1,0,0
184.4,6,0,0,26,2,35,0,7.092307419526637,61.46666666666667,0,0,0,1,0,1,0,0,0,0,0,1,0,0
214.77,11,0,0,73,1,18,0,2.9420547542184283,107.385,0,0,0,0,0,1,0,0,0,0,0,1,0,0
247.2,8,0,0,89,3,34,0,2.77752805867946,61.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
73.66,7,0,0,74,3,38,0,0.9954053919539811,18.415,0,0,0,0,1,0,0,0,0,0,0,1,0,0
39.37,9,0,0,57,0,31,0,0.6907017422683904,39.37,0,0,0,0,0,0,0,1,0,0,0,1,0,0
151.7,20,0,0,99,5,68,0,1.5323232168452199,25.28333333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16.54,7,1,1,48,1,43,0,0.34458332615451404,8.27,1,2,0,0,0,0,0,1,0,0,0,1,0,0
425.31,13,1,0,26,3,41,0,16.358076293920142,106.3275,1,1,0,1,1,0,0,0,0,1,0,0,0,0
104.21,6,0,1,43,2,34,0,2.42348831573283,34.736666666666665,1,1,0,0,0,0,0,0,1,0,0,1,0,0
55.48,3,1,1,40,2,55,1,1.386999965325001,18.493333333333332,1,2,0,0,0,0,0,0,1,0,0,0,1,1
99.89,22,0,0,56,1,49,0,1.7837499681473221,49.945,0,0,0,0,0,1,0,0,0,0,1,0,0,0
41.74,16,0,0,95,3,47,0,0.4393684164277009,10.435,0,0,0,0,0,0,1,0,0,1,0,0,0,0
137.95,14,0,0,83,2,31,0,1.6620481727464074,45.98333333333333,0,0,0,0,1,0,0,0,0,1,0,0,0,0
44.43,7,0,0,25,1,67,0,1.7771999289120028,22.215,0,0,0,1,0,0,0,1,0,0,0,1,0,0
147.05,15,1,0,30,2,27,0,4.9016665032777835,49.01666666666667,1,1,0,1,1,0,0,0,0,1,0,0,0,0
82.18,4,0,1,61,2,18,1,1.347213092668638,27.393333333333334,1,1,0,0,0,0,0,1,0,0,0,0,1,0
346.77,8,0,1,59,2,26,0,5.87745752750072,115.58999999999999,1,1,0,0,0,0,1,0,0,0,0,1,0,0
195.71,15,0,0,53,0,53,0,3.6926414397614824,195.71,0,0,0,0,0,1,0,0,0,1,0,0,0,0
25.86,6,0,0,41,4,61,0,0.6307316919333734,5.172,0,0,0,0,0,0,0,1,0,0,0,1,0,0
220.49,19,0,1,91,2,56,0,2.4229670063410222,73.49666666666667,1,1,0,0,0,1,0,0,0,0,1,0,0,0
137.18,0,0,1,29,2,52,1,4.7303446644708735,45.72666666666667,1,1,0,1,0,0,1,0,0,0,0,0,1,1
